מספר הסקר,תאריך,משיבים,כלי תקשורת,עורך משאלים,הליכוד,תקווה חדשה,ימינה,הציונות הדתית,יהדות התורה,"ש""ס",ישראל ביתנו,כחול לבן,יש עתיד,הישראלים,מרצ,עבודה,המפלגה הכלכלית,המשותפת,"רע""מ"
1,06/08/2020,704,כאן 11,קנטאר מדיה,30,,15,,8,9,7,12,17,,6,0,0,16,
2,07/08/2020,512,ערוץ 12,מנו גבע,31,,16,,8,8,7,11,18,,6,0,0,15,
3,07/08/2020,500,103FM,יצחק כץ,32,,12,,8,10,8,11,18,,5,0,0,16,
4,10/08/2020,500,מעריב,אבי דגני,29,,14,,9,7,7,13,19,,8,0,0,14,
5,13/08/2020,1003,מעריב,מנחם לזר,27,,18,,7,8,9,9,20,,7,0,0,15,
6,13/08/2020,500,ערוץ 12,מנו גבע,30,,18,,8,7,8,12,16,,6,0,0,15,
7,16/08/2020,509,ערוץ 13,קמיל פוקס,33,,19,,6,7,7,10,20,,6,0,0,12,
8,20/08/2020,511,מעריב,מנחם לזר,29,,19,,7,8,9,9,20,,5,0,0,14,
9,23/08/2020,669,ערוץ 13,קמיל פוקס,31,,18,,7,7,8,11,19,,6,0,0,13,
10,27/08/2020,537,מעריב,מנחם לזר,28,,17,,7,8,9,10,20,,7,0,0,14,
11,06/09/2020,500,ערוץ 12,מנו גבע,31,,19,,7,8,8,11,15,,6,0,0,15,
12,07/09/2020,707,ערוץ 13,קמיל פוקס,31,,21,,7,7,6,11,18,,6,0,0,13,
13,11/09/2020,565,ישראל היום,יצחק כץ,31,,20,,7,9,8,10,13,,5,0,0,17,
14,13/09/2020,566,103FM,מנחם לזר,30,,21,,8,8,8,9,16,,6,0,0,15,
15,17/09/2020,703,ערוץ 13,קמיל פוקס,30,,22,,7,7,8,8,18,,8,0,0,12,
16,21/09/2020,1062,דיירקט פולס,שלמה פילבר,30,,20,,7,9,9,8,17,,6,0,0,14,
17,23/09/2020,512,ערוץ 12,מנו גבע,29,,21,,7,9,8,9,17,,5,0,0,15,
18,03/10/2020,534,103FM,מנחם לזר,29,,22,,7,8,8,9,19,,6,0,0,12,
19,07/10/2020,503,ערוץ 12,מדגם,26,,23,,7,9,8,9,18,,5,0,0,15,
20,09/10/2020,515,מעריב,מנחם לזר,27,,22,,7,9,9,10,16,,5,0,0,15,
21,16/10/2020,1033,מעריב,מנחם לזר,28,,21,,7,9,9,9,17,,6,0,0,14,
22,18/10/2020,510,ערוץ 12,מנו גבע,27,,22,,7,9,7,10,17,,6,0,0,15,
23,18/10/2020,1102,ערוץ 13,קמיל פוקס,27,,24,,7,8,8,8,21,,6,0,0,11,
24,23/10/2020,549,מעריב,מנחם לזר,30,,20,,7,9,8,9,18,,7,0,0,12,
25,30/10/2020,541,מעריב,מנחם לזר,28,,21,,8,9,9,10,17,,6,0,0,12,
26,30/10/2020,503,103FM,יצחק כץ,28,,20,,8,9,8,10,17,,6,0,0,14,
27,01/11/2020,702,ערוץ 13,קמיל פוקס,29,,22,,7,7,7,10,20,,6,0,0,12,
28,07/11/2020,510,ערוץ 12,מדגם,28,,22,,8,8,7,11,17,,6,0,0,13,
29,13/11/2020,540,מעריב,מנחם לזר,30,,23,,8,9,8,9,17,,5,0,0,11,
30,17/11/2020,601,ערוץ 13,קמיל פוקס,29,,22,,6,8,7,10,20,,7,0,0,11,
31,17/11/2020,591,i24,גיאוקרטוגרפיה,28,,25,,8,9,5,12,15,,6,0,0,12,
32,20/11/2020,529,מעריב,מנחם לזר,27,,24,,7,9,8,10,18,,6,0,0,11,
33,24/11/2020,706,ערוץ 13,קמיל פוקס,27,,23,,7,7,8,10,20,,6,0,0,12,
34,24/11/2020,550,כאן 11,קנטאר מדיה,31,,21,,7,9,9,9,17,,6,0,0,11,
35,26/11/2020,503,103FM,יצחק כץ,30,,22,,8,9,7,9,17,,5,0,0,13,
36,27/11/2020,548,מעריב,מנחם לזר,29,,23,,7,8,8,9,19,,6,0,0,11,
37,27/11/2020,500,ערוץ 12,מנו גבע,30,,20,,8,8,8,9,18,,6,0,0,13,
38,02/12/2020,523,103FM,מנחם לזר,29,,23,,7,8,8,10,18,,5,0,0,12,
39,02/12/2020,706,ערוץ 13,קמיל פוקס,29,,22,,7,7,8,10,19,,7,0,0,11,
40,03/12/2020,500,ערוץ 12,מנו גבע,30,,21,,8,8,7,10,17,,7,0,0,12,
41,04/12/2020,541,מעריב,מנחם לזר,29,,22,,7,9,8,10,18,,6,0,0,11,
42,09/12/2020,521,103FM,מנחם לזר,25,17.0,19,,7,9,7,6,14,,5,0,0,11,
43,09/12/2020,500,ערוץ 12,מנו גבע,26,16.0,18,,8,8,6,6,15,,6,0,0,11,
44,09/12/2020,500,ערוץ 11,קנטאר מדיה,25,18.0,17,,7,8,6,7,15,,6,0,0,11,
45,09/12/2020,1106,ערוץ 13,קמיל פוקס,28,15.0,16,,7,7,7,6,16,,7,0,0,11,
