מספר הסקר,תאריך,משיבים,כלי תקשורת,עורך משאלים,הליכוד,הציונות הדתית,יהדות התורה,"ש""ס",ישראל ביתנו,המחנה הממלכתי,יש עתיד,מרצ,עבודה,עוצמה,המשותפת,"רע""מ",הרוח הציונית,תקווה חדשה
1,06/04/2021,516,103FM,מנחם לזר,29,5,7,9,6,7,21,4,7,,5,4,10.0,5.0
2,23/04/2021,500,103FM,יצחק כץ,30,6,8,8,5,7,20,5,7,,6,5,9.0,4.0
3,24/04/2021,504,חדשות 12,מנו גבע,30,6,7,9,7,7,19,5,8,,6,4,7.0,5.0
4,04/05/2021,699,חדשות 13,קמיל פוקס,28,5,7,7,5,8,21,5,7,,6,4,11.0,6.0
5,23/05/2021,500,חדשות 12,מנו גבע,30,7,7,9,6,10,21,4,6,,5,4,5.0,6.0
6,23/05/2021,702,חדשות 13,קמיל פוקס,29,8,6,7,5,8,22,4,7,,8,0,8.0,5.0
7,10/06/2021,500,ערוץ 20,מאגר מוחות,30,9,7,9,6,6,23,6,7,,5,4,4.0,4.0
8,13/06/2021,500,כיכר השבת,רפי סמית,31,7,7,9,5,7,23,4,6,,6,5,5.0,5.0
9,13/06/2021,703,חדשות 13,קמיל פוקס,27,8,6,7,5,10,23,4,7,,6,5,7.0,5.0
10,22/06/2021,504,ערוץ 20,מאגר מוחות,29,7,7,9,6,7,22,5,7,,6,5,6.0,4.0
11,12/07/2021,502,חדשות 12,מנו גבע,30,5,7,9,7,8,19,4,8,,6,4,8.0,5.0
20,16/07/2021,500,ישראל היום,יצחק כץ,29,7,7,9,6,7,21,6,7,,6,6,9.0,0.0
21,13/08/2021,504,ישראל היום,יצחק כץ,32,7,7,8,7,10,18,6,6,,6,5,8.0,0.0
22,18/08/2021,501,ערוץ 20,יצחק כץ,32,7,7,8,7,11,18,6,7,,5,5,7.0,0.0
23,20/08/2021,504,חדשות 12,מנו גבע,32,6,7,9,6,8,20,4,8,,6,4,6.0,4.0
24,02/09/2021,500,גלי ישראל,רפי סמית,33,7,7,9,7,10,18,6,6,,6,5,6.0,0.0
25,04/10/2021,701,דיירקט פולס,שלמה פילבר וצוריאל שרון,35,7,7,9,6,8,19,4,8,,8,5,4.0,0.0
26,04/10/2021,699,חדשות 13,קמיל פוקס,34,7,7,6,5,7,22,4,6,,7,4,7.0,4.0
27,12/10/2021,553,חדשות 12,מנו גבע,34,6,7,9,5,8,18,5,7,,6,4,7.0,4.0
28,31/10/2021,637,דיירקט פולס,דירקט פולס,35,7,8,9,7,7,20,4,7,,7,5,0.0,4.0
29,01/11/2021,700,חדשות 13,קמיל פוקס,36,6,7,7,4,7,20,5,10,,8,4,6.0,0.0
30,03/11/2021,600,גלי ישראל,רפי סמית,34,7,7,8,6,8,20,5,7,,7,5,6.0,0.0
31,22/11/2021,504,ערוץ 20,יצחק כץ,33,7,8,8,6,9,18,5,8,,7,5,6.0,0.0
32,28/11/2021,500,ערוץ 14,דירקט פולס,35,7,7,9,7,8,19,4,7,,7,6,4.0,0.0
33,02/12/2021,500,גלי ישראל,רפי סמית,34,7,7,9,7,7,21,4,7,,7,5,5.0,0.0
35,05/12/2021,509,חדשות 12,מנו גבע,34,7,7,9,6,9,19,5,7,,6,5,6.0,0.0
36,19/12/2021,650,103FM,מנחם לזר,33,8,7,8,6,9,19,5,7,,7,5,6.0,0.0
37,21/12/2021,700,חדשות 13,קמיל פוקס,33,7,7,8,5,8,19,4,6,,5,5,9.0,4.0
38,06/01/2022,500,גלי ישראל,רפי סמית,33,8,7,8,7,8,20,5,7,,6,5,6.0,0.0
39,06/01/2022,528,ערוץ 14,דירקט פולס,35,7,7,9,7,8,19,4,7,,7,6,4.0,0.0
40,10/01/2022,502,סרוגים,מאגר מוחות,33,8,7,9,6,11,18,5,8,,5,4,6.0,0.0
41,16/01/2022,502,חדשות 12,מנו גבע,33,7,7,9,6,9,18,4,7,,6,5,5.0,4.0
42,19/01/2022,500,ישראל היום,מאגר מוחות,34,8,7,9,6,9,18,4,8,,7,5,5.0,0.0
43,15/02/2022,500,דירקט פולס,דירקט פולס,36,8,7,9,6,9,17,5,7,,7,5,4.0,0.0
44,15/03/2022,507,חדשות 12,מנו גבע,34,7,7,9,6,7,17,4,7,,6,5,7.0,4.0
45,22/03/2022,502,ישראל היום,יצחק כץ,34,10,8,8,5,9,17,5,8,,6,4,6.0,0.0
46,25/03/2022,771,ערוץ 14,דירקט פולס,36,8,7,9,7,8,18,5,7,,7,4,4.0,0.0
47,30/03/2022,509,חדשות 12,מנו גבע,34,8,7,9,5,8,18,4,6,,6,5,6.0,4.0
