מספר הסקר,תאריך,משיבים,כלי תקשורת,עורך משאלים,הליכוד,יהדות התורה,ש״ס,המחנה הממלכתי,יש עתיד,חדש תע״ל,ישראל ביתנו,מפלגת הדמוקרטים (עבודה-מרצ),הציונות הדתית,רע״מ,בל״ד,עוצמה יהודית,תקווה חדשה
1,2022-12-23,500,מעריב,מנחם לזר,35,8,9,10,26,0,4,4,12,4,4,,
2,2023-01-01,700,חדשות 13,קמיל פוקס,31,7,8,12,26,4,6,4,12,6,0,,
3,2023-01-27,500,מעריב,מנחם לזר,31,7,9,15,27,4,5,4,13,0,0,,
4,2023-02-03,500,חדשות 12,מנו גבע,30,7,11,14,24,5,6,0,14,5,0,,
5,2023-02-03,512,ערוץ 14,שלמה פילבר וצוריאל שרון,30,8,12,12,24,5,6,4,14,5,0,,
6,2023-02-20,902,חדשות 13,קמיל פוקס,27,7,10,14,26,5,5,4,12,6,4,,
7,2023-02-24,500,מעריב,מנחם לזר,26,7,10,19,27,5,5,5,12,0,0,,
8,2023-02-24,806,ערוץ 7,דירקט פולס,31,8,11,13,23,5,6,4,14,5,0,,
9,2023-02-27,1001,כאן חדשות,דודי חסיד,29,7,10,15,26,5,5,0,13,6,0,,
10,2023-02-28,500,חדשות 12,מנו גבע,29,7,11,14,26,5,6,0,12,6,0,,
11,2023-03-05,512,ערוץ 14,דירקט פולס,30,8,12,12,24,5,6,4,14,5,0,,
12,2023-03-05,701,חדשות 13,קמיל פוקס,28,7,9,14,27,5,6,6,12,6,0,,
13,2023-03-10,507,מעריב,מנחם לזר,27,7,10,16,25,5,6,4,12,4,0,,
14,2023-03-16,600,כאן חדשות,דודי חסיד,28,7,11,17,24,5,6,0,12,6,0,,
15,0000-00-00,993,ערוץ 14,דירקט פולס,32,7,11,15,23,5,6,0,12,5,0,,
16,2023-03-16,700,חדשות 13,קמיל פוקס,28,7,10,13,27,5,6,5,13,6,0,,
17,2023-03-17,508,מעריב,מנחם לזר,29,8,9,16,24,4,6,4,11,4,0,,
18,2023-03-17,503,חדשות 12,מנו גבע,29,7,10,17,23,5,6,0,12,6,0,,
19,2023-03-24,713,ג׳רוזלם פוסט,מנחם לזר,28,7,10,19,26,5,5,0,11,4,0,,
20,2023-03-26,700,חדשות 13,קמיל פוקס,28,7,9,18,24,5,5,4,11,5,4,,
21,2023-03-27,500,חדשות 12,מנו גבע,25,7,10,23,22,5,6,0,12,5,0,,
22,2023-03-27,600,כאן חדשות,דודי חסיד,25,7,10,21,22,5,6,4,11,5,0,,
23,2023-03-28,700,ערוץ 14,דירקט פולס,30,7,10,23,19,5,6,0,11,5,0,,
24,2023-04-07,522,מעריב,מנחם לזר,25,7,10,25,20,6,6,0,12,4,0,,
25,2023-04-09,699,חדשות 13,קמיל פוקס,20,6,9,29,21,6,5,4,11,5,4,,
26,2023-04-14,500,מעריב,מנחם לזר,26,7,9,26,19,6,6,4,9,4,0,,
27,2023-04-16,504,חדשות 12,מנו גבע,24,7,10,28,20,5,5,0,11,5,0,,
28,2023-04-16,1115,ערוץ 14,שלמה פילבר,30,8,10,29,14,5,6,0,9,5,0,,
29,2023-04-21,500,מעריב,מנחם לזר,26,7,9,27,19,6,6,0,10,4,0,,
30,2023-04-28,525,מעריב,מנחם לזר,23,7,10,28,17,6,6,4,10,5,0,,
31,0000-00-00,600,כאן חדשות,דודי חסיד,25,7,10,30,18,6,6,0,9,5,0,,
32,2023-04-30,500,ערוץ 14,דירקט פולס,31,7,11,28,14,5,6,0,9,5,0,,
33,2023-04-30,700,חדשות 13,קמיל פוקס,22,7,9,28,18,5,6,0,11,5,4,,
34,2023-05-05,517,מעריב,מנחם לזר,25,8,10,31,17,5,6,0,10,4,0,,
35,2023-05-07,500,חדשות 12,מנו גבע,24,7,10,29,18,5,6,0,11,5,0,,
